route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"AS",1,1380,"East 90th St",4301,1,43,107
"AS",1,1381,"East 90th St",4102,1,41,107
"AS",1,1382,"East 90th St",4202,1,42,107
"AS",1,1383,"East 90th St",4303,1,43,107
"AS",1,1384,"East 90th St",4104,1,41,107
"AS",1,1385,"East 90th St",4204,1,42,107
"AS",1,1386,"East 90th St",4305,1,43,107
"AS",1,1387,"East 90th St",4206,1,42,107
"AS",1,1388,"East 90th St",4307,1,43,107
"AS",1,1389,"East 90th St",4208,1,42,107
"AS",1,1390,"East 90th St",4309,1,43,107
"SG",2,1391,"St. George",8114,0,81,71
"AS",1,1392,"East 90th St",4311,1,43,107
"AS",1,1393,"East 90th St",4106,1,41,107
"AS",1,1394,"East 90th St",4212,1,42,107
"AS",1,1395,"East 90th St",4313,1,43,107
"AS",1,1396,"East 90th St",4108,1,41,107
"AS",1,1397,"East 90th St",4214,1,42,107
"AS",1,1398,"East 90th St",4315,1,43,107
"AS",1,1399,"East 90th St",4110,1,41,107
"AS",1,1400,"East 90th St",4216,1,42,107
"AS",1,1401,"Wall St./Pier 11",4101,0,41,108
"AS",1,1402,"Wall St./Pier 11",4201,0,42,108
"AS",1,1403,"Wall St./Pier 11",4302,0,43,108
"AS",1,1404,"Wall St./Pier 11",4103,0,41,108
"AS",1,1405,"Wall St./Pier 11",4203,0,42,108
"AS",1,1406,"Wall St./Pier 11",4304,0,43,108
"AS",1,1407,"Wall St./Pier 11",4105,0,41,108
"SG",2,1408,"St. George",8215,0,82,71
"SG",2,1409,"St. George",8311,0,83,71
"SG",2,1410,"St. George",8116,0,81,71
"SG",2,1411,"St. George",8217,0,82,71
"SG",2,1412,"St. George",8313,0,83,71
"SG",2,1413,"St. George",8118,0,81,71
"SG",2,1414,"Midtown West/W 39th St-Pier 79",8101,1,81,16
"SG",2,1415,"Midtown West/W 39th St-Pier 79",8202,1,82,16
"SG",2,1416,"Midtown West/W 39th St-Pier 79",8103,1,81,16
"SG",2,1417,"Midtown West/W 39th St-Pier 79",8204,1,82,16
"SG",2,1418,"Midtown West/W 39th St-Pier 79",8105,1,81,16
"SG",2,1419,"Midtown West/W 39th St-Pier 79",8206,1,82,16
"SG",2,1420,"Midtown West/W 39th St-Pier 79",8302,1,83,16
"SG",2,1421,"Midtown West/W 39th St-Pier 79",8107,1,81,16
"SG",2,1422,"Midtown West/W 39th St-Pier 79",8208,1,82,16
"SG",2,1423,"Midtown West/W 39th St-Pier 79",8304,1,83,16
"SG",2,1424,"Midtown West/W 39th St-Pier 79",8109,1,81,16
